"","model","predicted_threshold","predicted_acc","predicted_sen","predicted_spec","actual_threshold","actual_acc","actual_sen","actual_spec","features","fL","usekernel","adjust","seed"
"1","up",0.53,0.76545440760505,0.697575757575758,0.778550555230859,0.61,0.873563218390805,0.785714285714286,0.89041095890411,"Department,Gender,JobInvolvement,JobLevel,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,1.5,1234
"2","down",0.5,0.726014055346573,0.766212121212121,0.718281706604325,0.62,0.879310344827586,0.785714285714286,0.897260273972603,"Department,Gender,JobInvolvement,JobLevel,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,3.5,1234
"3","rose",0.51,0.749514069926807,0.726212121212121,0.753781414377557,0.7,0.890804597701149,0.678571428571429,0.931506849315068,"Department,Gender,JobInvolvement,JobLevel,OverTime,StockOptionLevel,WorkLifeBalance",1.5,TRUE,3.5,1234
"4","up",0.49,0.73827078412504,0.739545454545454,0.73801870251315,0.64,0.885057471264368,0.75,0.910958904109589,"Department,JobInvolvement,JobLevel,OverTime,StockOptionLevel,WorkLifeBalance",4.5,TRUE,4.5,1234
"5","down",0.48,0.709506254920829,0.764545454545454,0.698696668614845,0.56,0.833333333333333,0.75,0.849315068493151,"Department,JobInvolvement,JobLevel,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,2,1234
"6","rose",0.52,0.749126002391158,0.718181818181818,0.755078901227352,0.51,0.827586206896552,0.821428571428571,0.828767123287671,"Department,JobInvolvement,JobLevel,OverTime,StockOptionLevel,WorkLifeBalance",4,FALSE,5,1234
"7","up",0.53,0.76321820779751,0.693333333333333,0.776727060198715,0.64,0.908045977011494,0.785714285714286,0.931506849315068,"Department,Gender,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,4.5,1234
"8","down",0.53,0.755144781733881,0.705454545454545,0.764710695499708,0.58,0.885057471264368,0.821428571428571,0.897260273972603,"Department,Gender,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",3,FALSE,4.5,1234
"9","rose",0.52,0.758144752573411,0.696666666666667,0.769964932787843,0.63,0.896551724137931,0.892857142857143,0.897260273972603,"Department,Gender,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",4.5,FALSE,3,1234
"10","up",0.44,0.684667833085469,0.795,0.663658679135009,0.65,0.896551724137931,0.714285714285714,0.931506849315068,"Gender,JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",3.5,TRUE,5,1234
"11","down",0.52,0.737380223369201,0.727878787878788,0.739117475160725,0.59,0.827586206896552,0.785714285714286,0.835616438356164,"Gender,JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",2,TRUE,4.5,1234
"12","rose",0.46,0.692025719534599,0.796818181818182,0.672033898305085,0.62,0.867816091954023,0.714285714285714,0.897260273972603,"Gender,JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",3,FALSE,4.5,1234
"13","up",0.49,0.733665879333975,0.775757575757576,0.725412039742841,0.61,0.873563218390805,0.821428571428571,0.883561643835616,"JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,2,1234
"14","down",0.44,0.690497069372758,0.832878787878788,0.662933956750438,0.59,0.82183908045977,0.785714285714286,0.828767123287671,"JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",1.5,TRUE,2,1234
"15","rose",0.42,0.69069448575511,0.821818181818181,0.665675043834015,0.73,0.896551724137931,0.642857142857143,0.945205479452055,"JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",2.5,FALSE,4,1234
"16","up",0.47,0.709164027644126,0.788636363636363,0.69385739333723,0.66,0.890804597701149,0.75,0.917808219178082,"Department,JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",4.5,FALSE,3.5,1234
"17","down",0.53,0.736267868078034,0.743181818181818,0.734950321449445,0.65,0.908045977011494,0.785714285714286,0.931506849315068,"Department,JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",2,TRUE,2,1234
"18","rose",0.48,0.698767211967457,0.785151515151515,0.682162478082992,0.63,0.873563218390805,0.821428571428571,0.883561643835616,"Department,JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",4,TRUE,5,1234
"19","up",0.52,0.732365672294638,0.72,0.734868497954413,0.72,0.908045977011494,0.678571428571429,0.952054794520548,"Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,WorkLifeBalance",1,TRUE,4.5,1234
"20","down",0.52,0.718673431895722,0.753030303030303,0.711992986557569,0.48,0.729885057471264,0.892857142857143,0.698630136986301,"Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,WorkLifeBalance",1,TRUE,4.5,1234
"21","rose",0.52,0.723996092497011,0.710757575757576,0.726651081239041,0.62,0.885057471264368,0.714285714285714,0.917808219178082,"Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,WorkLifeBalance",5,FALSE,4.5,1234
"22","up",0.49,0.72871169043245,0.777272727272727,0.719497369959088,0.62,0.844827586206897,0.75,0.863013698630137,"Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel",5,FALSE,2,1234
"23","down",0.55,0.747758259703146,0.744848484848485,0.748305084745763,0.62,0.85632183908046,0.75,0.876712328767123,"Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel",1.5,FALSE,3,1234
"24","rose",0.46,0.704627008427376,0.808636363636363,0.684535359438925,0.53,0.82183908045977,0.857142857142857,0.815068493150685,"Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel",4.5,TRUE,3.5,1234
"25","up",0.48,0.716436240632199,0.73060606060606,0.713454120397429,0.56,0.827586206896552,0.857142857142857,0.821917808219178,"Gender,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",4.5,FALSE,1,1234
"26","down",0.48,0.707533782404572,0.763484848484848,0.696680303915839,0.5,0.764367816091954,0.892857142857143,0.73972602739726,"Gender,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",2.5,FALSE,1.5,1234
"27","rose",0.53,0.740178112151168,0.703939393939394,0.747282291057861,0.6,0.839080459770115,0.892857142857143,0.828767123287671,"Gender,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",2,FALSE,1,1234
"28","up",0.48,0.714374128830957,0.776363636363636,0.702700175336061,0.6,0.850574712643678,0.785714285714286,0.863013698630137,"Department,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel",4.5,FALSE,3,1234
"29","down",0.52,0.727132942583035,0.764545454545454,0.720011689070719,0.56,0.816091954022989,0.75,0.828767123287671,"Department,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel",4,FALSE,1,1234
"30","rose",0.47,0.703526375645175,0.783787878787878,0.688007013442431,0.52,0.833333333333333,0.821428571428571,0.835616438356164,"Department,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel",3.5,TRUE,4.5,1234
"31","up",0.58,0.768608112442773,0.661212121212121,0.789006428988896,0.48,0.810344827586207,0.785714285714286,0.815068493150685,"Department,Gender,JobInvolvement,JobLevel,JobRole,MaritalStatus,OverTime,WorkLifeBalance",0.5,FALSE,1.5,1234
"32","down",0.55,0.737854489254367,0.697272727272727,0.745879602571596,0.77,0.890804597701149,0.678571428571429,0.931506849315068,"Department,Gender,JobInvolvement,JobLevel,JobRole,MaritalStatus,OverTime,WorkLifeBalance",2.5,FALSE,4,1234
"33","rose",0.55,0.745125185897997,0.676363636363636,0.758626534190532,0.56,0.781609195402299,0.857142857142857,0.767123287671233,"Department,Gender,JobInvolvement,JobLevel,JobRole,MaritalStatus,OverTime,WorkLifeBalance",2,TRUE,1,1234
"34","up",0.48,0.726983116087831,0.733181818181818,0.725692577440094,0.59,0.862068965517241,0.857142857142857,0.863013698630137,"JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",4,FALSE,1.5,1234
"35","down",0.48,0.710876797013968,0.749545454545454,0.703506721215663,0.62,0.816091954022989,0.785714285714286,0.821917808219178,"JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",2,FALSE,4,1234
"36","rose",0.51,0.735520193625521,0.710909090909091,0.739982466393922,0.48,0.775862068965517,0.857142857142857,0.76027397260274,"JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",1.5,FALSE,2,1234
"37","up",0.45,0.703928906773977,0.770454545454545,0.691069549970777,0.6,0.850574712643678,0.785714285714286,0.863013698630137,"Gender,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel",4,TRUE,3,1234
"38","down",0.45,0.687418306943108,0.805454545454545,0.664827586206897,0.67,0.844827586206897,0.821428571428571,0.849315068493151,"Gender,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel",2.5,FALSE,4,1234
"39","rose",0.45,0.69863301548421,0.786060606060606,0.68187025131502,0.5,0.770114942528736,0.857142857142857,0.753424657534247,"Gender,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel",3,TRUE,4,1234
"40","up",0.47,0.701132592657394,0.754848484848484,0.690718877849211,0.71,0.913793103448276,0.714285714285714,0.952054794520548,"Department,Gender,JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",3.5,FALSE,4.5,1234
"41","down",0.53,0.743414399440119,0.701212121212121,0.751841028638223,0.62,0.85632183908046,0.714285714285714,0.883561643835616,"Department,Gender,JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",1,FALSE,2.5,1234
"42","rose",0.48,0.710909223456682,0.743484848484848,0.704453535943892,0.64,0.867816091954023,0.714285714285714,0.897260273972603,"Department,Gender,JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",3.5,FALSE,4.5,1234
"43","up",0.55,0.770913130959671,0.699393939393939,0.784517825832846,0.68,0.902298850574713,0.75,0.931506849315068,"Department,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",4,TRUE,1.5,1234
"44","down",0.52,0.72988627416674,0.756515151515151,0.724646405610754,0.73,0.890804597701149,0.714285714285714,0.924657534246575,"Department,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",2.5,TRUE,1.5,1234
"45","rose",0.56,0.773079170676231,0.684242424242424,0.790157802454705,0.55,0.827586206896552,0.785714285714286,0.835616438356164,"Department,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,1.5,1234
"46","up",0.41,0.662308692736127,0.799090909090909,0.636306253652834,0.64,0.862068965517241,0.714285714285714,0.89041095890411,"Department,JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",2.5,TRUE,1.5,1234
"47","down",0.52,0.720782841979413,0.716666666666666,0.721654003506721,0.72,0.908045977011494,0.714285714285714,0.945205479452055,"Department,JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",0.5,FALSE,1,1234
"48","rose",0.51,0.738376053421981,0.703030303030303,0.745300993571011,0.55,0.816091954022989,0.75,0.828767123287671,"Department,JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",5,FALSE,3.5,1234
"49","up",0.44,0.705785145656548,0.813333333333333,0.685230859146698,0.62,0.867816091954023,0.821428571428571,0.876712328767123,"JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",3,TRUE,5,1234
"50","down",0.51,0.718645962732919,0.768484848484848,0.70886031560491,0.63,0.873563218390805,0.821428571428571,0.883561643835616,"JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",2,TRUE,5,1234
"51","rose",0.49,0.733244977109031,0.762727272727273,0.727796610169492,0.67,0.833333333333333,0.75,0.849315068493151,"JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,3.5,1234
"52","up",0.57,0.796097745895664,0.628333333333333,0.828176504967855,0.49,0.781609195402299,0.785714285714286,0.780821917808219,"JobInvolvement,JobRole,OverTime,StockOptionLevel",4,TRUE,2,1234
"53","down",0.55,0.757716326947191,0.692575757575757,0.770298071303332,0.5,0.775862068965517,0.821428571428571,0.767123287671233,"JobInvolvement,JobRole,OverTime,StockOptionLevel",0.5,TRUE,1.5,1234
"54","rose",0.54,0.770617560435074,0.68469696969697,0.787165400350672,0.48,0.781609195402299,0.75,0.787671232876712,"JobInvolvement,JobRole,OverTime,StockOptionLevel",3,FALSE,1,1234
"55","up",0.49,0.724944157699822,0.73469696969697,0.723009935710111,0.54,0.839080459770115,0.857142857142857,0.835616438356164,"JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",5,FALSE,1.5,1234
"56","down",0.51,0.72669431079229,0.761363636363636,0.720274693161894,0.54,0.775862068965517,0.892857142857143,0.753424657534247,"JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",3,FALSE,4.5,1234
"57","rose",0.55,0.770202781908844,0.673484848484848,0.78875511396844,0.66,0.867816091954023,0.75,0.89041095890411,"JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",3,FALSE,1,1234
"58","up",0.55,0.776423818271951,0.725909090909091,0.786300409117475,0.59,0.844827586206897,0.821428571428571,0.849315068493151,"Department,Gender,JobInvolvement,JobLevel,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,5,1234
"59","down",0.55,0.773271746420552,0.733939393939394,0.780759789596727,0.61,0.839080459770115,0.75,0.856164383561644,"Department,Gender,JobInvolvement,JobLevel,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",3.5,TRUE,4.5,1234
"60","rose",0.52,0.758895751319511,0.734545454545454,0.763389830508475,0.61,0.885057471264368,0.821428571428571,0.897260273972603,"Department,Gender,JobInvolvement,JobLevel,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",1,TRUE,5,1234
"61","up",0.46,0.708835214183653,0.796515151515151,0.69208649912332,0.67,0.890804597701149,0.75,0.917808219178082,"JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel",3.5,FALSE,4,1234
"62","down",0.46,0.689229871985537,0.812121212121212,0.665862068965517,0.59,0.816091954022989,0.821428571428571,0.815068493150685,"JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel",4.5,TRUE,3,1234
"63","rose",0.44,0.69984253346164,0.806212121212121,0.679304500292227,0.68,0.862068965517241,0.75,0.883561643835616,"JobInvolvement,JobLevel,JobRole,JobSatisfaction,OverTime,StockOptionLevel",2,FALSE,3,1234
"64","up",0.41,0.667997667162395,0.83,0.637299824663939,0.66,0.896551724137931,0.75,0.924657534246575,"Department,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel",5,TRUE,4.5,1234
"65","down",0.46,0.698137404134955,0.798787878787879,0.678550555230859,0.59,0.85632183908046,0.821428571428571,0.863013698630137,"Department,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel",3,TRUE,4,1234
"66","rose",0.46,0.695151488641997,0.774545454545454,0.679853886616014,0.54,0.82183908045977,0.785714285714286,0.828767123287671,"Department,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel",5,TRUE,5,1234
"67","up",0.43,0.698982824483131,0.797272727272727,0.67990064289889,0.62,0.844827586206897,0.821428571428571,0.849315068493151,"JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,5,1234
"68","down",0.45,0.702569562301344,0.799545454545454,0.683822326125073,0.64,0.833333333333333,0.821428571428571,0.835616438356164,"JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",4.5,TRUE,4.5,1234
"69","rose",0.43,0.702613303006444,0.797121212121212,0.684623027469316,0.57,0.827586206896552,0.821428571428571,0.828767123287671,"JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",4.5,TRUE,3.5,1234
"70","up",0.54,0.761895605517161,0.710909090909091,0.771583869082408,0.62,0.873563218390805,0.75,0.897260273972603,"Gender,JobInvolvement,JobRole,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",2,TRUE,4.5,1234
"71","down",0.52,0.748154317207594,0.750757575757575,0.747790765634132,0.54,0.833333333333333,0.785714285714286,0.842465753424658,"Gender,JobInvolvement,JobRole,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",3,TRUE,2,1234
"72","rose",0.5,0.737355145364943,0.732424242424242,0.738375219170076,0.67,0.873563218390805,0.714285714285714,0.904109589041096,"Gender,JobInvolvement,JobRole,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",3,TRUE,5,1234
"73","up",0.52,0.762455194937742,0.706060606060606,0.773389830508475,0.67,0.890804597701149,0.714285714285714,0.924657534246575,"Gender,JobInvolvement,JobRole,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,5,1234
"74","down",0.57,0.785643600734844,0.666212121212121,0.808609000584454,0.71,0.873563218390805,0.678571428571429,0.910958904109589,"Gender,JobInvolvement,JobRole,OverTime,StockOptionLevel,WorkLifeBalance",1,FALSE,1,1234
"75","rose",0.56,0.773050185168985,0.652424242424242,0.796271186440678,0.59,0.867816091954023,0.785714285714286,0.883561643835616,"Gender,JobInvolvement,JobRole,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,4.5,1234
"76","up",0.44,0.68392546583851,0.796515151515151,0.662267679719462,0.58,0.82183908045977,0.785714285714286,0.828767123287671,"JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel",2,TRUE,3,1234
"77","down",0.5,0.710546758813752,0.76969696969697,0.699310344827586,0.6,0.85632183908046,0.785714285714286,0.86986301369863,"JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel",3,TRUE,5,1234
"78","rose",0.58,0.776992855684834,0.666363636363636,0.798234950321449,0.67,0.873563218390805,0.75,0.897260273972603,"JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel",2.5,TRUE,1,1234
"79","up",0.45,0.699166593765491,0.768181818181818,0.68594389246055,0.56,0.839080459770115,0.857142857142857,0.835616438356164,"Department,JobInvolvement,JobLevel,JobSatisfaction,OverTime,StockOptionLevel,WorkLifeBalance",3,FALSE,2,1234
