"","features","metric","seed"
"152","OverTime,TotalWorkingYears,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,YearsWithCurrManager,YearsInCurrentRole,StockOptionLevel,JobLevel,JobInvolvement,Age,JobSatisfaction,JobRole,DistanceFromHome_L,DistanceFromHome,HourlyRateLog_L,HourlyRate,EducationField,Department,ID,DailyRate,DailyRateLog_L,NumCompaniesWorked,Education,EnvironmentSatisfaction,TrainingTimesLastYear,MonthlyRate,MonthlyRate_L,WorkLifeBalance,YearsSinceLastPromotion,EmployeeNumber,MaritalStatus,BusinessTravel,PerformanceRating,Gender,RelationshipSatisfaction,PercentSalaryHike,PercentSalaryHike_L","Kappa",76
"153","OverTime,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,TotalWorkingYears,YearsAtCompany","Accuracy",77
"154","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,StockOptionLevel,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Age,JobInvolvement,JobLevel,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,Department","Kappa",77
"155","OverTime,StockOptionLevel,YearsAtCompany,MonthlyIncome_L","Accuracy",78
"156","OverTime,StockOptionLevel,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,TotalWorkingYears,JobLevel,YearsWithCurrManager,JobInvolvement,Age,JobSatisfaction,EnvironmentSatisfaction,Department,DistanceFromHome,DistanceFromHome_L,TrainingTimesLastYear,EmployeeNumber,NumCompaniesWorked,WorkLifeBalance,HourlyRate,HourlyRateLog_L,ID,JobRole,RelationshipSatisfaction,EducationField,MonthlyRate,MonthlyRate_L,MaritalStatus,Education,YearsSinceLastPromotion,DailyRate,DailyRateLog_L,Gender,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating,BusinessTravel","Kappa",78
"157","MonthlyIncome,MonthlyIncome_L,OverTime,TotalWorkingYears,YearsInCurrentRole,JobLevel,YearsAtCompany,StockOptionLevel,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,Department,ID,Education,EnvironmentSatisfaction,DistanceFromHome,DistanceFromHome_L,MonthlyRate,MonthlyRate_L,NumCompaniesWorked,JobRole,WorkLifeBalance,TrainingTimesLastYear,EducationField,HourlyRate,HourlyRateLog_L,YearsSinceLastPromotion,BusinessTravel,DailyRate,DailyRateLog_L,PercentSalaryHike,PercentSalaryHike_L,MaritalStatus,EmployeeNumber,Gender,PerformanceRating","Accuracy",79
"158","MonthlyIncome_L,MonthlyIncome,OverTime,TotalWorkingYears,JobLevel,YearsInCurrentRole,YearsAtCompany,StockOptionLevel,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,Education,Department,ID,EnvironmentSatisfaction,DistanceFromHome,DistanceFromHome_L,MonthlyRate,MonthlyRate_L,NumCompaniesWorked,WorkLifeBalance,EducationField,JobRole,HourlyRate,HourlyRateLog_L,TrainingTimesLastYear,YearsSinceLastPromotion,BusinessTravel,MaritalStatus,PercentSalaryHike,PercentSalaryHike_L,DailyRate,DailyRateLog_L,EmployeeNumber,Gender,PerformanceRating","Kappa",79
"159","OverTime,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,TotalWorkingYears,YearsWithCurrManager,JobLevel,YearsInCurrentRole,StockOptionLevel,Age,JobInvolvement,JobSatisfaction,JobRole,DistanceFromHome_L,DistanceFromHome,EnvironmentSatisfaction,MonthlyRate,Department,MonthlyRate_L,TrainingTimesLastYear,YearsSinceLastPromotion,EducationField,WorkLifeBalance,HourlyRate,HourlyRateLog_L,EmployeeNumber,DailyRate,DailyRateLog_L,ID,BusinessTravel,Gender,Education,RelationshipSatisfaction,NumCompaniesWorked,PercentSalaryHike,PercentSalaryHike_L,MaritalStatus,PerformanceRating","Accuracy",80
"160","OverTime,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,TotalWorkingYears,YearsWithCurrManager,JobLevel,YearsInCurrentRole,StockOptionLevel,Age,JobInvolvement,JobSatisfaction,JobRole,DistanceFromHome_L,DistanceFromHome,EnvironmentSatisfaction,MonthlyRate,MonthlyRate_L,Department,EducationField,YearsSinceLastPromotion,WorkLifeBalance,DailyRate,TrainingTimesLastYear,HourlyRate,DailyRateLog_L,HourlyRateLog_L,EmployeeNumber,BusinessTravel,Gender,Education,ID,RelationshipSatisfaction,PercentSalaryHike,PercentSalaryHike_L,NumCompaniesWorked,MaritalStatus,PerformanceRating","Kappa",80
"161","OverTime,MonthlyIncome_L,MonthlyIncome,JobLevel,TotalWorkingYears,StockOptionLevel,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,TrainingTimesLastYear,NumCompaniesWorked,DailyRateLog_L,DailyRate,JobRole,Department,EnvironmentSatisfaction,MonthlyRate,MonthlyRate_L,RelationshipSatisfaction,WorkLifeBalance,ID,HourlyRate,HourlyRateLog_L,Education,MaritalStatus,Gender,EmployeeNumber,DistanceFromHome,DistanceFromHome_L,BusinessTravel,EducationField,YearsSinceLastPromotion,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating","Accuracy",81
"162","OverTime,MonthlyIncome_L,MonthlyIncome,JobLevel,TotalWorkingYears,StockOptionLevel,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Age,JobInvolvement,TrainingTimesLastYear,JobSatisfaction,NumCompaniesWorked,JobRole,DailyRateLog_L,DailyRate,Department,EnvironmentSatisfaction,MonthlyRate,MonthlyRate_L,RelationshipSatisfaction,Education,HourlyRate,WorkLifeBalance,MaritalStatus,ID,HourlyRateLog_L,Gender,EmployeeNumber,BusinessTravel,DistanceFromHome,DistanceFromHome_L,EducationField,YearsSinceLastPromotion,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating","Kappa",81
"163","StockOptionLevel,OverTime,TotalWorkingYears,YearsAtCompany","Accuracy",82
"164","StockOptionLevel,OverTime,YearsAtCompany,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,JobInvolvement,JobLevel,YearsWithCurrManager,Age,JobSatisfaction,WorkLifeBalance,DistanceFromHome,TrainingTimesLastYear,DistanceFromHome_L,EnvironmentSatisfaction,NumCompaniesWorked,Department,JobRole,Education,MaritalStatus,HourlyRate,HourlyRateLog_L,BusinessTravel,Gender,MonthlyRate,MonthlyRate_L,DailyRate,DailyRateLog_L,RelationshipSatisfaction,EducationField,ID,PerformanceRating,YearsSinceLastPromotion,EmployeeNumber,PercentSalaryHike,PercentSalaryHike_L","Kappa",82
"165","OverTime,TotalWorkingYears,YearsAtCompany,MonthlyIncome,MonthlyIncome_L,YearsInCurrentRole,YearsWithCurrManager,JobLevel,Age,StockOptionLevel,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,Department,DistanceFromHome,DistanceFromHome_L,TrainingTimesLastYear,MonthlyRate,MonthlyRate_L,Education,ID,WorkLifeBalance,HourlyRate,HourlyRateLog_L,EducationField,NumCompaniesWorked,DailyRate,DailyRateLog_L,JobRole,EmployeeNumber,YearsSinceLastPromotion,RelationshipSatisfaction,MaritalStatus,PerformanceRating,BusinessTravel,Gender,PercentSalaryHike,PercentSalaryHike_L","Accuracy",83
"166","OverTime,TotalWorkingYears,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,YearsWithCurrManager,JobLevel,Age,StockOptionLevel,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,Education","Kappa",83
"167","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsAtCompany,JobLevel,YearsInCurrentRole,YearsWithCurrManager,StockOptionLevel,Age,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,JobRole,EducationField,ID,RelationshipSatisfaction,Education,TrainingTimesLastYear,NumCompaniesWorked,YearsSinceLastPromotion,MonthlyRate,MonthlyRate_L,WorkLifeBalance,DailyRate,DailyRateLog_L,Gender,HourlyRate,HourlyRateLog_L,MaritalStatus,EmployeeNumber,BusinessTravel,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating","Accuracy",84
"168","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsAtCompany,JobLevel,YearsInCurrentRole,YearsWithCurrManager,Age,StockOptionLevel,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,Department,JobRole,DistanceFromHome_L,DistanceFromHome,EducationField,Education,ID,YearsSinceLastPromotion,RelationshipSatisfaction,NumCompaniesWorked,TrainingTimesLastYear,MonthlyRate,MonthlyRate_L,WorkLifeBalance,DailyRate,DailyRateLog_L,Gender,HourlyRate,HourlyRateLog_L,MaritalStatus,EmployeeNumber,BusinessTravel,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating","Kappa",84
"169","OverTime,TotalWorkingYears,StockOptionLevel,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,JobInvolvement,YearsInCurrentRole,JobLevel,YearsWithCurrManager,Age,JobSatisfaction,Department,DistanceFromHome_L,JobRole,DistanceFromHome,WorkLifeBalance,Education,EnvironmentSatisfaction,TrainingTimesLastYear,EducationField,Gender,MonthlyRate,BusinessTravel,MonthlyRate_L,RelationshipSatisfaction,EmployeeNumber,NumCompaniesWorked,HourlyRate,HourlyRateLog_L,ID,PercentSalaryHike,PercentSalaryHike_L,MaritalStatus,DailyRate,DailyRateLog_L,YearsSinceLastPromotion,PerformanceRating","Accuracy",85
"170","OverTime,TotalWorkingYears,StockOptionLevel,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,JobInvolvement,JobLevel,YearsWithCurrManager,Age,JobSatisfaction,Department,Education,WorkLifeBalance,DistanceFromHome_L,DistanceFromHome,JobRole","Kappa",85
"171","TotalWorkingYears,OverTime,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,JobLevel,YearsInCurrentRole,YearsWithCurrManager,Age,StockOptionLevel,JobInvolvement,JobSatisfaction,Department,EnvironmentSatisfaction,JobRole,DistanceFromHome,DistanceFromHome_L,TrainingTimesLastYear,EducationField,WorkLifeBalance,YearsSinceLastPromotion,DailyRate,DailyRateLog_L,ID,NumCompaniesWorked,HourlyRate,MonthlyRate,MonthlyRate_L,HourlyRateLog_L,Education,Gender,EmployeeNumber,BusinessTravel,MaritalStatus,RelationshipSatisfaction,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating","Accuracy",86
"172","TotalWorkingYears,OverTime,YearsAtCompany,MonthlyIncome,MonthlyIncome_L,JobLevel,YearsInCurrentRole,YearsWithCurrManager,Age,StockOptionLevel,JobInvolvement,JobSatisfaction,Department,EnvironmentSatisfaction,DistanceFromHome_L,DistanceFromHome,JobRole,WorkLifeBalance,EducationField,TrainingTimesLastYear,DailyRate,YearsSinceLastPromotion,DailyRateLog_L,NumCompaniesWorked,ID,MonthlyRate,MonthlyRate_L,HourlyRate,HourlyRateLog_L,Education,Gender,EmployeeNumber,BusinessTravel,MaritalStatus,RelationshipSatisfaction,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating","Kappa",86
"173","TotalWorkingYears,YearsAtCompany,OverTime,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,YearsInCurrentRole,JobLevel,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,TrainingTimesLastYear,EducationField,Department,DistanceFromHome_L,DistanceFromHome,EnvironmentSatisfaction,WorkLifeBalance,JobRole,YearsSinceLastPromotion,Education,HourlyRate,HourlyRateLog_L,NumCompaniesWorked,ID,MaritalStatus,BusinessTravel,DailyRate,DailyRateLog_L,RelationshipSatisfaction,EmployeeNumber,PercentSalaryHike,PercentSalaryHike_L,Gender,MonthlyRate,MonthlyRate_L,PerformanceRating","Accuracy",87
"174","TotalWorkingYears,OverTime,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,YearsInCurrentRole,JobLevel,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,TrainingTimesLastYear,EducationField,Department,DistanceFromHome_L,DistanceFromHome,EnvironmentSatisfaction","Kappa",87
"175","OverTime,TotalWorkingYears,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,Age,StockOptionLevel,JobLevel,YearsWithCurrManager,JobInvolvement,Department,JobSatisfaction,ID,EnvironmentSatisfaction,TrainingTimesLastYear,DistanceFromHome,DistanceFromHome_L","Accuracy",88
"176","OverTime,TotalWorkingYears,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,Age,StockOptionLevel,JobLevel,YearsWithCurrManager,JobInvolvement,Department,JobSatisfaction,ID,EnvironmentSatisfaction,DistanceFromHome","Kappa",88
"177","OverTime,TotalWorkingYears,MonthlyIncome_L","Accuracy",89
"178","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsAtCompany,StockOptionLevel,JobLevel,YearsInCurrentRole,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,JobRole,DistanceFromHome_L,DistanceFromHome,MonthlyRate_L,MonthlyRate,Department,EducationField,HourlyRate,HourlyRateLog_L,WorkLifeBalance,RelationshipSatisfaction,ID,Education,TrainingTimesLastYear,NumCompaniesWorked,DailyRate,DailyRateLog_L,YearsSinceLastPromotion,PercentSalaryHike,PercentSalaryHike_L,Gender,EmployeeNumber,PerformanceRating,BusinessTravel,MaritalStatus","Kappa",89
"179","OverTime,TotalWorkingYears,StockOptionLevel,MonthlyIncome,MonthlyIncome_L,YearsAtCompany,JobLevel,Age,YearsInCurrentRole,YearsWithCurrManager,JobInvolvement,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,EnvironmentSatisfaction,EducationField,MonthlyRate,MonthlyRate_L,WorkLifeBalance,JobRole,Education,HourlyRate,HourlyRateLog_L,EmployeeNumber,TrainingTimesLastYear,NumCompaniesWorked,Gender,ID,YearsSinceLastPromotion,DailyRate,DailyRateLog_L,PerformanceRating,RelationshipSatisfaction,PercentSalaryHike,PercentSalaryHike_L,MaritalStatus,BusinessTravel","Accuracy",90
"180","OverTime,TotalWorkingYears,StockOptionLevel,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,JobLevel,Age,YearsInCurrentRole,YearsWithCurrManager,JobInvolvement,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,EducationField,EnvironmentSatisfaction,WorkLifeBalance,MonthlyRate_L,MonthlyRate,JobRole,Education,HourlyRate,HourlyRateLog_L,EmployeeNumber,TrainingTimesLastYear,NumCompaniesWorked,Gender,ID,YearsSinceLastPromotion,PerformanceRating,DailyRate,DailyRateLog_L,RelationshipSatisfaction,PercentSalaryHike,PercentSalaryHike_L,MaritalStatus,BusinessTravel","Kappa",90
"181","OverTime,MonthlyIncome_L,MonthlyIncome,Age","Accuracy",91
"182","OverTime,MonthlyIncome_L,MonthlyIncome,Age,TotalWorkingYears,YearsInCurrentRole,StockOptionLevel,YearsAtCompany,JobLevel,YearsWithCurrManager,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,TrainingTimesLastYear,DistanceFromHome_L,DistanceFromHome,Department,ID,JobRole,WorkLifeBalance,EducationField,HourlyRate,HourlyRateLog_L,Education,RelationshipSatisfaction,NumCompaniesWorked,YearsSinceLastPromotion,MaritalStatus,EmployeeNumber,BusinessTravel,PercentSalaryHike,PercentSalaryHike_L,DailyRate,DailyRateLog_L,MonthlyRate,MonthlyRate_L,Gender,PerformanceRating","Kappa",91
"183","TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,OverTime,YearsAtCompany,JobLevel,YearsWithCurrManager,StockOptionLevel,YearsInCurrentRole,Age,JobInvolvement,JobSatisfaction,WorkLifeBalance,DistanceFromHome,DistanceFromHome_L,ID,Department,JobRole,TrainingTimesLastYear,Education,EnvironmentSatisfaction,EducationField,RelationshipSatisfaction,YearsSinceLastPromotion,MonthlyRate,DailyRate,DailyRateLog_L,Gender,MonthlyRate_L,EmployeeNumber,NumCompaniesWorked,HourlyRate,HourlyRateLog_L,MaritalStatus,BusinessTravel,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating","Accuracy",92
"184","MonthlyIncome_L,TotalWorkingYears,MonthlyIncome,OverTime,YearsAtCompany,JobLevel,YearsWithCurrManager,StockOptionLevel,YearsInCurrentRole,Age,JobInvolvement,JobSatisfaction,WorkLifeBalance,DistanceFromHome_L,DistanceFromHome,ID,JobRole,Department,TrainingTimesLastYear,EnvironmentSatisfaction,EducationField,Education,RelationshipSatisfaction,YearsSinceLastPromotion,DailyRate,DailyRateLog_L,Gender,EmployeeNumber,MonthlyRate,MonthlyRate_L,NumCompaniesWorked,HourlyRate,HourlyRateLog_L,MaritalStatus,PercentSalaryHike,PercentSalaryHike_L,BusinessTravel,PerformanceRating","Kappa",92
"185","OverTime,TotalWorkingYears,MonthlyIncome_L","Accuracy",93
"186","OverTime,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,JobLevel,YearsAtCompany,StockOptionLevel,YearsInCurrentRole,Age,YearsWithCurrManager,JobInvolvement,JobSatisfaction,WorkLifeBalance,JobRole,Department,EnvironmentSatisfaction,Education,NumCompaniesWorked,DistanceFromHome,DistanceFromHome_L,TrainingTimesLastYear,EducationField,PercentSalaryHike,PercentSalaryHike_L,DailyRate,DailyRateLog_L,MonthlyRate,HourlyRate,HourlyRateLog_L,ID,MonthlyRate_L,EmployeeNumber,YearsSinceLastPromotion,MaritalStatus,Gender,PerformanceRating,BusinessTravel,RelationshipSatisfaction","Kappa",93
"187","TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,OverTime,JobLevel,YearsAtCompany,YearsInCurrentRole,Age,StockOptionLevel,YearsWithCurrManager,JobInvolvement,JobSatisfaction,JobRole,EducationField,ID,EnvironmentSatisfaction,Department,MonthlyRate,MonthlyRate_L,WorkLifeBalance,Education,DistanceFromHome,DistanceFromHome_L,TrainingTimesLastYear,YearsSinceLastPromotion,NumCompaniesWorked,EmployeeNumber,Gender,RelationshipSatisfaction,HourlyRate,HourlyRateLog_L,DailyRate,DailyRateLog_L,MaritalStatus,BusinessTravel,PerformanceRating,PercentSalaryHike,PercentSalaryHike_L","Accuracy",94
"188","TotalWorkingYears,OverTime,MonthlyIncome,MonthlyIncome_L,JobLevel,YearsAtCompany,YearsInCurrentRole,Age,StockOptionLevel,YearsWithCurrManager,JobInvolvement,JobRole,JobSatisfaction,EducationField,ID,EnvironmentSatisfaction,MonthlyRate,MonthlyRate_L,Department,WorkLifeBalance,Education,YearsSinceLastPromotion,DistanceFromHome,DistanceFromHome_L,EmployeeNumber,TrainingTimesLastYear,NumCompaniesWorked,Gender,RelationshipSatisfaction,HourlyRate,HourlyRateLog_L,MaritalStatus,DailyRate,DailyRateLog_L,BusinessTravel,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating","Kappa",94
"189","OverTime,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsWithCurrManager,StockOptionLevel,JobLevel,Age,JobInvolvement,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,NumCompaniesWorked,EnvironmentSatisfaction,Gender,WorkLifeBalance,JobRole,HourlyRate,HourlyRateLog_L,EducationField,YearsSinceLastPromotion,MonthlyRate,MonthlyRate_L,TrainingTimesLastYear,BusinessTravel,DailyRate,DailyRateLog_L,ID,Education,MaritalStatus,PerformanceRating,EmployeeNumber,PercentSalaryHike,PercentSalaryHike_L,RelationshipSatisfaction","Accuracy",95
"190","OverTime,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,TotalWorkingYears,YearsInCurrentRole,YearsWithCurrManager,StockOptionLevel,JobLevel,Age,JobInvolvement,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,NumCompaniesWorked,Gender,EnvironmentSatisfaction,WorkLifeBalance,JobRole,HourlyRate,EducationField,YearsSinceLastPromotion,HourlyRateLog_L,MonthlyRate,MonthlyRate_L,BusinessTravel,TrainingTimesLastYear,DailyRate,DailyRateLog_L,ID,Education,MaritalStatus,PerformanceRating,RelationshipSatisfaction,PercentSalaryHike,PercentSalaryHike_L,EmployeeNumber","Kappa",95
"191","MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,OverTime,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,JobInvolvement,StockOptionLevel,Age,JobSatisfaction,EnvironmentSatisfaction,NumCompaniesWorked,Department,DistanceFromHome_L,DistanceFromHome,JobRole,EmployeeNumber,RelationshipSatisfaction,MonthlyRate,MonthlyRate_L,Education,DailyRate,DailyRateLog_L,ID,EducationField,WorkLifeBalance,TrainingTimesLastYear,YearsSinceLastPromotion,Gender,MaritalStatus,PerformanceRating,PercentSalaryHike,PercentSalaryHike_L,HourlyRate,HourlyRateLog_L,BusinessTravel","Accuracy",96
"192","MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,OverTime,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,JobInvolvement,StockOptionLevel,Age,JobSatisfaction,EnvironmentSatisfaction","Kappa",96
"193","TotalWorkingYears,OverTime,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,JobLevel,StockOptionLevel,YearsInCurrentRole,YearsWithCurrManager,Age,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,ID,JobRole,TrainingTimesLastYear,DailyRate,DailyRateLog_L,WorkLifeBalance,EducationField,Education,MonthlyRate,MonthlyRate_L,RelationshipSatisfaction,YearsSinceLastPromotion,HourlyRate,HourlyRateLog_L,EmployeeNumber,BusinessTravel,NumCompaniesWorked,MaritalStatus,Gender,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating","Accuracy",97
"194","TotalWorkingYears,OverTime,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,JobLevel,StockOptionLevel,YearsInCurrentRole,YearsWithCurrManager,Age,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,ID,TrainingTimesLastYear,JobRole,DailyRate,EducationField,DailyRateLog_L,WorkLifeBalance,Education,MonthlyRate,MonthlyRate_L,RelationshipSatisfaction,YearsSinceLastPromotion,HourlyRate,HourlyRateLog_L,BusinessTravel,EmployeeNumber,NumCompaniesWorked,MaritalStatus,Gender,PerformanceRating,PercentSalaryHike,PercentSalaryHike_L","Kappa",97
"195","MonthlyIncome_L,MonthlyIncome,OverTime,YearsInCurrentRole,JobLevel,YearsAtCompany,TotalWorkingYears,YearsWithCurrManager,Age,StockOptionLevel,JobInvolvement,JobSatisfaction,DistanceFromHome_L,DistanceFromHome,DailyRateLog_L,DailyRate,JobRole,Department,Education,MonthlyRate,EducationField,MonthlyRate_L,EnvironmentSatisfaction,TrainingTimesLastYear,RelationshipSatisfaction,WorkLifeBalance,ID,NumCompaniesWorked,YearsSinceLastPromotion,PercentSalaryHike,PercentSalaryHike_L,MaritalStatus,BusinessTravel,PerformanceRating,HourlyRate,HourlyRateLog_L,EmployeeNumber,Gender","Accuracy",98
"196","MonthlyIncome_L,MonthlyIncome,OverTime,YearsInCurrentRole,JobLevel,YearsAtCompany,TotalWorkingYears,YearsWithCurrManager,Age,StockOptionLevel,JobInvolvement,JobSatisfaction","Kappa",98
"197","TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,OverTime,YearsAtCompany,JobLevel,YearsInCurrentRole,YearsWithCurrManager,JobInvolvement,StockOptionLevel,Age,NumCompaniesWorked,DistanceFromHome_L,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,Department,JobRole,DailyRate,DailyRateLog_L,Education,WorkLifeBalance,TrainingTimesLastYear,MaritalStatus,BusinessTravel,MonthlyRate,MonthlyRate_L,EmployeeNumber,EducationField,YearsSinceLastPromotion,ID,HourlyRate,HourlyRateLog_L,PercentSalaryHike,PercentSalaryHike_L,RelationshipSatisfaction,Gender,PerformanceRating","Accuracy",99
"198","TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,OverTime,YearsAtCompany,JobLevel,YearsInCurrentRole,YearsWithCurrManager,JobInvolvement,StockOptionLevel,Age,NumCompaniesWorked,DistanceFromHome_L,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,Department,JobRole,Education,DailyRate,DailyRateLog_L,MonthlyRate,EmployeeNumber,WorkLifeBalance,TrainingTimesLastYear,MonthlyRate_L,BusinessTravel,MaritalStatus,EducationField,YearsSinceLastPromotion,ID,HourlyRate,HourlyRateLog_L,Gender,PerformanceRating,RelationshipSatisfaction,PercentSalaryHike,PercentSalaryHike_L","Kappa",99
"199","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,StockOptionLevel,YearsAtCompany,JobLevel,JobInvolvement,YearsInCurrentRole,Age,YearsWithCurrManager,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,Education,EnvironmentSatisfaction,EducationField,WorkLifeBalance,HourlyRate,ID,HourlyRateLog_L,TrainingTimesLastYear,DailyRate,DailyRateLog_L,MonthlyRate,MonthlyRate_L,NumCompaniesWorked,Gender,BusinessTravel,YearsSinceLastPromotion,RelationshipSatisfaction,JobRole,PerformanceRating,MaritalStatus,PercentSalaryHike,PercentSalaryHike_L,EmployeeNumber","Accuracy",100
"200","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,StockOptionLevel,YearsAtCompany,JobLevel,JobInvolvement,YearsInCurrentRole,Age,YearsWithCurrManager,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,Education,WorkLifeBalance","Kappa",100
